Sample_ID,Rep,"Average 
% soil moist","Mass (g) oven dry soil 
using for assay","4g Dry Weight 
Equivalant Target","Actual Mass 
Fresh Soil","Actual Dry Weight 
Equivalent",Rack,unique.id,Volume,Notes
UPH_H8,1,22,4,5.1282,5.1372,4.007,1,01_1,7.5,
DCH_V6,1,23.17,4,5.2063,5.2003,3.9954,10,01_10,7.5,
YFN_H7,1,21.77,4,5.1131,5.1173,4.0033,11,01_11,7.5,
DCH_H4,1,21.15,4,5.0729,5.0744,4.0012,12,01_12,7.5,
UPS_H7,1,22.08,4,5.1335,5.1321,3.9989,13,01_13,8,
UPH_V8,1,20.98,4,5.062,5.0766,4.0115,2,01_2,7.5,
FNH_P2,1,21.06,4,5.0671,5.0615,3.9955,3,01_3,7.5,
FNH_P6,1,23.18,4,5.207,5.2065,3.9996,4,01_4,7.5,
MCH_V2,1,26.74,4,5.46,5.4591,3.9993,5,01_5,7.5,
YFN_P3,1,22.02,4,5.1295,5.1292,3.9998,6,01_6,7.5,
FNH_P3,1,17.57,4,4.8526,4.8585,4.0049,7,01_7,7,
MCN_P8,1,22.16,4,5.1387,5.1394,4.0005,8,01_8,7.5,
MCH_V3,1,26.44,4,5.4377,5.431,3.995,9,01_9,7.5,
UPH_H8,2,22,4,5.1282,5.1156,3.9902,1,02_1,7.5,
DCH_V6,2,23.17,4,5.2063,5.2088,4.0019,10,02_10,7.5,
YFN_H7,2,21.77,4,5.1131,5.111,3.9983,11,02_11,7.5,
DCH_H4,2,21.15,4,5.0729,5.0746,4.0013,12,02_12,7.5,
UPS_H7,2,22.08,4,5.1335,5.1318,3.9987,13,02_13,7.5,
UPH_V8,2,20.98,4,5.062,5.0695,4.0059,2,02_2,7.5,
FNH_P2,2,21.06,4,5.0671,5.0674,4.0002,3,02_3,7.5,
FNH_P6,2,23.18,4,5.207,5.2067,3.9998,4,02_4,7.5,
MCH_V2,2,26.74,4,5.46,5.4762,4.0119,5,02_5,7.5,
YFN_P3,2,22.02,4,5.1295,5.1225,3.9945,6,02_6,7.5,
FNH_P3,2,17.57,4,4.8526,4.8529,4.0002,7,02_7,7.5,
MCN_P8,2,22.16,4,5.1387,5.1339,3.9962,8,02_8,7.5,
MCH_V3,2,26.44,4,5.4377,5.4345,3.9976,9,02_9,8,
UPH_P2,1,23.01,4,5.1955,5.2068,4.0087,1,03_1,8,
FNN_P5,1,23.17,4,5.2063,5.203,3.9975,10,03_10,7.5,
FNS_H7,1,20.57,4,5.0359,5.044,4.0064,11,03_11,7.5,
DCS_P7,1,21.63,4,5.104,5.1003,3.9971,12,03_12,8,
YFH_V6,1,20.49,4,5.0308,5.0422,4.0091,13,03_13,7.5,
UPH_P5,1,21.39,4,5.0884,5.0763,3.9905,2,03_2,7,
FNN_P3,1,21.42,4,5.0904,5.0866,3.9971,3,03_3,7.5,
MCH_P2,1,27.31,4,5.5028,5.5099,4.0051,4,03_4,7.5,
MCS_H7,1,24.41,4,5.2917,5.2831,3.9935,5,03_5,7.5,
FNH_P7,1,19.74,4,4.9838,4.9908,4.0056,6,03_6,7.5,
DCN_P8,1,21.34,4,5.0852,5.0874,4.0017,7,03_7,7.5,
YFH_H4,1,20.9,4,5.0569,5.0595,4.0021,8,03_8,7.5,
MCN_H8,1,23.72,4,5.2438,5.2417,3.9984,9,03_9,7.5,
UPH_P2,2,23.01,4,5.1955,5.2051,4.0074,1,04_1,7.5,
FNN_P5,2,23.17,4,5.2063,5.2032,3.9976,10,04_10,7.5,
FNS_H7,2,20.57,4,5.0359,5.0361,4.0002,11,04_11,7.5,
DCS_P7,2,21.63,4,5.104,5.105,4.0008,12,04_12,7.5,
YFH_V6,2,20.49,4,5.0308,5.0463,4.0123,13,04_13,7.5,
UPH_P5,2,21.39,4,5.0884,5.087,3.9989,2,04_2,7.5,
FNN_P3,2,21.42,4,5.0904,5.0905,4.0001,3,04_3,7,
MCH_P2,2,27.31,4,5.5028,5.5076,4.0035,4,04_4,8,
MCS_H7,2,24.41,4,5.2917,5.289,3.998,5,04_5,7.5,
FNH_P7,2,19.74,4,4.9838,4.9778,3.9952,6,04_6,7.5,
DCN_P8,2,21.34,4,5.0852,5.0898,4.0036,7,04_7,7.5,
YFH_H4,2,20.9,4,5.0569,5.0594,4.002,8,04_8,7,
MCN_H8,2,23.72,4,5.2438,5.2428,3.9992,9,04_9,7.5,
UPS_P5,1,22.21,4,5.142,5.1578,4.0123,1,05_1,7.5,
MCN_H4,1,23.06,4,5.1989,5.1917,3.9945,10,05_10,7.5,
FNN_P8,1,24.1,4,5.2701,5.2775,4.0056,11,05_11,7.5,
MCS_H6,1,19.12,4,4.9456,4.9416,3.9968,12,05_12,7.5,
FNS_P5,1,22.84,4,5.184,5.1958,4.0091,13,05_13,7.5,
UPS_P2,1,20.97,4,5.0614,5.0674,4.0048,2,05_2,7.5,
FNH_V5,1,22.88,4,5.1867,5.1938,4.0055,3,05_3,7.5,
MCN_H1,1,22.72,4,5.176,5.1785,4.0019,4,05_4,8,
SCH_V7,1,24.56,4,5.3022,5.3039,4.0013,5,05_5,7.5,
YFN_P4,1,20.59,4,5.0371,5.0393,4.0017,6,05_6,7.5,
MCH_H3,1,24.7,4,5.3121,5.3114,3.9995,7,05_7,8,
YFH_H8,1,22.85,4,5.1847,5.1842,3.9996,8,05_8,8,
MCN_P5,1,22.83,4,5.1834,5.1836,4.0002,9,05_9,7.5,
UPS_P5,2,22.21,4,5.142,5.1596,4.0137,1,06_1,7.5,
MCN_H4,2,23.06,4,5.1989,5.1999,4.0008,10,06_10,7.5,
FNN_P8,2,24.1,4,5.2701,5.2763,4.0047,11,06_11,7.5,
MCS_H6,2,19.12,4,4.9456,4.9417,3.9968,12,06_12,7.5,
FNS_P5,2,22.84,4,5.184,5.1894,4.0041,13,06_13,7.5,
UPS_P2,2,20.97,4,5.0614,5.076,4.0116,2,06_2,7.5,
FNH_V5,2,22.88,4,5.1867,5.2053,4.0143,3,06_3,7,
MCN_H1,2,22.72,4,5.176,5.1744,3.9988,4,06_4,7.5,
SCH_V7,2,24.56,4,5.3022,5.3046,4.0018,5,06_5,8,
YFN_P4,2,20.59,4,5.0371,5.0438,4.0053,6,06_6,7.5,
MCH_H3,2,24.7,4,5.3121,5.3044,3.9942,7,06_7,8,
YFH_H8,2,22.85,4,5.1847,5.1848,4.0001,8,06_8,9,
MCN_P5,2,22.83,4,5.1834,5.1812,3.9983,9,06_9,7,
YFH_H3,1,23.97,4,5.2611,5.2672,4.0047,1,07_1,7.5,
MCS_P6,1,21.61,4,5.1027,5.1013,3.9989,10,07_10,7.5,
SCS_P8,1,20.7,4,5.0441,5.0545,4.0082,11,07_11,7.5,
SCH_P8,1,23.95,4,5.2597,5.254,3.9957,12,07_12,7.5,
MCN_P2,1,24.22,4,5.2784,5.2744,3.9969,13,07_13,7.5,
UPH_P8,1,22.92,4,5.1894,5.1939,4.0035,2,07_2,7.5,
FNN_P2,1,21.8,4,5.1151,5.1199,4.0038,3,07_3,7.5,
SCN_H7,1,22.86,4,5.1854,5.1895,4.0032,4,07_4,7.5,
MCH_P8,1,25.2,4,5.3476,5.3384,3.9931,5,07_5,7.5,
FNS_P4,1,18.08,4,4.8828,4.8941,4.0092,6,07_6,7.5,
UPH_V1,1,23.17,4,5.2063,5.2108,4.0035,7,07_7,8,
YFH_H2,1,20.26,4,5.0163,5.0199,4.0029,8,07_8,8.5,
SCS_H5,1,23.07,4,5.1995,5.1942,3.9959,9,07_9,7.5,
